Number of Rows
--------------
9971
 
Hidden States
-------------
[1 1 1 ... 1 1 1]
 
Record of data hidden state
**********************************
No.     mean of X  -  mean of Y      #Number
-----------------------------------
mean of X
-----------------------------------
-4.80751333989
-4.80751333989
-6.4193973415
-6.4193973415
-----------------------------------
mean of Y
-4.80751333989
-6.4193973415
-4.80751333989
-6.4193973415
-----------------------------------
Number
1656
34
34
8246
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      0.04459     -  5.98032      -6.4193973415        1               5.93573
1      5.99037     -  5.99037      -4.80751333989        0               0.0
2      6.00036     -  10.84037      -6.4193973415        1               4.84001
3      10.85033     -  10.87032      -4.80751333989        0               0.01999
4      10.88037     -  14.62036      -6.4193973415        1               3.73999
5      14.63038     -  14.67033      -4.80751333989        0               0.03995
6      14.68036     -  17.74032      -6.4193973415        1               3.05996
7      17.75033     -  17.89033      -4.80751333989        0               0.14
8      17.90032     -  17.92032      -6.4193973415        1               0.02
9      17.93033     -  17.94037      -4.80751333989        0               0.01004
10      17.95037     -  18.10037      -6.4193973415        1               0.15
11      18.11033     -  18.12038      -4.80751333989        0               0.01005
12      18.13037     -  20.28033      -6.4193973415        1               2.14996
13      20.29032     -  20.29032      -4.80751333989        0               0.0
14      20.30111     -  23.16053      -6.4193973415        1               2.85942
15      23.17033     -  23.17033      -4.80751333989        0               0.0
16      23.18032     -  53.79037      -6.4193973415        1               30.61005
17      53.80114     -  53.80114      -4.80751333989        0               0.0
18      53.81037     -  53.89033      -6.4193973415        1               0.07996
19      53.90032     -  53.91057      -4.80751333989        0               0.01025
20      53.92036     -  54.00032      -6.4193973415        1               0.07996
21      54.01036     -  54.03037      -4.80751333989        0               0.02001
22      54.04032     -  56.01032      -6.4193973415        1               1.97
23      56.02032     -  56.07032      -4.80751333989        0               0.05
24      56.08037     -  56.90037      -6.4193973415        1               0.82
25      56.91037     -  56.91037      -4.80751333989        0               0.0
26      56.92037     -  57.70033      -6.4193973415        1               0.77996
27      57.71033     -  57.75032      -4.80751333989        0               0.03999
28      57.76033     -  60.99037      -6.4193973415        1               3.23004
29      61.00032     -  61.01037      -4.80751333989        0               0.01005
30      61.02033     -  61.23033      -6.4193973415        1               0.21
31      61.24037     -  61.39036      -4.80751333989        0               0.14999
32      61.40032     -  67.91031      -6.4193973415        1               6.50999
33      67.92032     -  67.93032      -4.80751333989        0               0.00999999999999
34      67.9417     -  70.18037      -6.4193973415        1               2.23867
35      70.19033     -  70.19033      -4.80751333989        0               0.0
36      70.20032     -  70.32032      -6.4193973415        1               0.12
37      70.33037     -  70.33037      -4.80751333989        0               0.0
38      70.34036     -  70.73037      -6.4193973415        1               0.39001
39      70.74032     -  70.88037      -4.80751333989        0               0.14005
40      70.89032     -  70.90032      -6.4193973415        1               0.00999999999999
41      70.91059     -  70.93032      -4.80751333989        0               0.01973
42      70.94032     -  71.01037      -6.4193973415        1               0.07005
43      71.02032     -  71.02032      -4.80751333989        0               0.0
44      71.03036     -  72.25033      -6.4193973415        1               1.21997
45      72.26031     -  72.26031      -4.80751333989        0               0.0
46      72.27032     -  73.67037      -6.4193973415        1               1.40005
47      73.68046     -  73.72042      -4.80751333989        0               0.03996
48      73.73032     -  75.73036      -6.4193973415        1               2.00004
49      75.74033     -  75.82033      -4.80751333989        0               0.08
50      75.83032     -  75.86032      -6.4193973415        1               0.03
51      75.87032     -  78.71045      -4.80751333989        0               2.84013
52      78.72033     -  78.75033      -6.4193973415        1               0.03
53      78.76037     -  88.54045      -4.80751333989        0               9.78008
54      88.55037     -  88.84032      -6.4193973415        1               0.28995
55      88.85033     -  92.17037      -4.80751333989        0               3.32004
56      92.18033     -  92.26037      -6.4193973415        1               0.08004
57      92.27033     -  92.30113      -4.80751333989        0               0.0308
58      92.31033     -  93.39036      -6.4193973415        1               1.08003
59      93.40038     -  93.42033      -4.80751333989        0               0.01995
60      93.43031     -  96.96032      -6.4193973415        1               3.53001
61      96.97037     -  96.98037      -4.80751333989        0               0.00999999999999
62      96.99056     -  98.51033      -6.4193973415        1               1.51977
63      98.52032     -  98.52032      -4.80751333989        0               0.0
64      98.53037     -  99.25033      -6.4193973415        1               0.71996
65      99.26036     -  99.29037      -4.80751333989        0               0.03001
66      99.30036     -  99.37033      -6.4193973415        1               0.06997
67      99.38032     -  99.38032      -4.80751333989        0               0.0
record of list pair of x_i,x_i+1
hidden_states original [1 1 1 ... 1 1 1]
